timestamp,open,high,low,close,volume,symbol,launch_date,hours_from_launch
2025-01-07 12:00:00,0.4926,0.5072,0.4469,0.4615,22595858,SWARMSUSDT,2025-01-07 17:30:00,0
2025-01-07 13:00:00,0.4616,0.4812,0.4565,0.461,18068560,SWARMSUSDT,2025-01-07 17:30:00,1
2025-01-07 14:00:00,0.4611,0.4876,0.458,0.4626,11989732,SWARMSUSDT,2025-01-07 17:30:00,2
2025-01-07 15:00:00,0.4627,0.4737,0.4367,0.4683,22801956,SWARMSUSDT,2025-01-07 17:30:00,3
2025-01-07 16:00:00,0.4683,0.5067,0.468,0.4815,30879740,SWARMSUSDT,2025-01-07 17:30:00,4
2025-01-07 17:00:00,0.4815,0.4882,0.4438,0.4599,16968568,SWARMSUSDT,2025-01-07 17:30:00,5
2025-01-07 18:00:00,0.4601,0.4796,0.4579,0.4713,10771628,SWARMSUSDT,2025-01-07 17:30:00,6
2025-01-07 19:00:00,0.4714,0.49,0.4659,0.4743,9632290,SWARMSUSDT,2025-01-07 17:30:00,7
2025-01-07 20:00:00,0.4743,0.4885,0.4702,0.4808,5410810,SWARMSUSDT,2025-01-07 17:30:00,8
2025-01-07 21:00:00,0.4808,0.4864,0.4569,0.46,5452846,SWARMSUSDT,2025-01-07 17:30:00,9
2025-01-07 22:00:00,0.4597,0.4958,0.4595,0.4912,6984227,SWARMSUSDT,2025-01-07 17:30:00,10
2025-01-07 23:00:00,0.4914,0.4915,0.4691,0.4726,5245608,SWARMSUSDT,2025-01-07 17:30:00,11
2025-01-08 00:00:00,0.4727,0.4758,0.4304,0.4443,12240767,SWARMSUSDT,2025-01-07 17:30:00,12
2025-01-08 01:00:00,0.4444,0.4461,0.42,0.4219,16817362,SWARMSUSDT,2025-01-07 17:30:00,13
2025-01-08 02:00:00,0.4219,0.4286,0.3889,0.4006,27943223,SWARMSUSDT,2025-01-07 17:30:00,14
2025-01-08 03:00:00,0.4008,0.4139,0.3821,0.3934,23338679,SWARMSUSDT,2025-01-07 17:30:00,15
2025-01-08 04:00:00,0.3934,0.403,0.3774,0.3785,25519608,SWARMSUSDT,2025-01-07 17:30:00,16
2025-01-08 05:00:00,0.3786,0.3911,0.3752,0.3833,26012364,SWARMSUSDT,2025-01-07 17:30:00,17
2025-01-08 06:00:00,0.3832,0.3853,0.3452,0.3523,43865122,SWARMSUSDT,2025-01-07 17:30:00,18
2025-01-08 07:00:00,0.3523,0.3755,0.3498,0.3664,36223714,SWARMSUSDT,2025-01-07 17:30:00,19
2025-01-08 08:00:00,0.3664,0.3739,0.3574,0.361,33657654,SWARMSUSDT,2025-01-07 17:30:00,20
2025-01-08 09:00:00,0.361,0.3626,0.3341,0.335,58143695,SWARMSUSDT,2025-01-07 17:30:00,21
2025-01-08 10:00:00,0.3349,0.3613,0.3349,0.3478,46728411,SWARMSUSDT,2025-01-07 17:30:00,22
2025-01-08 11:00:00,0.3479,0.3518,0.3116,0.3133,77388188,SWARMSUSDT,2025-01-07 17:30:00,23
