symbol,launch_date,entry_time,exit_time,entry_price,target_price,stop_loss_price,exit_price,position_size,profit_usd,profit_pct,exit_reason,capital_before,capital_after,duration_minutes
PENGUUSDT,2024-12-17 21:30:00,2024-12-17 16:16:00,2024-12-17 16:41:00,0.037464,0.044957,0.033718,0.033718,53384.582533,-200.0,-10.0,Stop Loss,2000.0,1800.0,25
LUMIAUSDT,2024-12-18 16:30:00,2024-12-18 11:31:00,2024-12-18 15:29:00,1.864,2.2368,1.6776,1.861,965.665236,-2.896996,-0.160944,4h Timeout,1800.0,1797.103004,238
USUALUSDT,2024-12-18 18:30:00,2024-12-18 13:01:00,2024-12-18 15:22:00,0.8171,0.98052,0.73539,0.98052,2199.36728,359.420601,20.0,Target Hit,1797.103004,2156.523605,141
AIXBTUSDT,2024-12-20 23:30:00,2024-12-20 18:32:00,2024-12-20 19:39:00,0.27171,0.326052,0.244539,0.326052,7936.857698,431.304721,20.0,Target Hit,2156.523605,2587.828326,67
FARTCOINUSDT,2024-12-20 23:30:00,2024-12-20 18:46:00,2024-12-20 19:06:00,1.0858,1.30296,0.97722,0.97722,2383.337932,-258.782833,-10.0,Stop Loss,2587.828326,2329.045494,20
CGPTUSDT,2024-12-21 00:30:00,2024-12-20 19:16:00,2024-12-20 23:14:00,0.23128,0.277536,0.208152,0.24453,10070.241671,133.430702,5.728987,4h Timeout,2329.045494,2462.476196,238
KMNOUSDT,2024-12-21 00:30:00,2024-12-20 19:01:00,2024-12-20 22:59:00,0.19016,0.228192,0.171144,0.19288,12949.496191,35.22263,1.430374,4h Timeout,2462.476196,2497.698825,238
HIVEUSDT,2024-12-23 16:30:00,2024-12-23 11:31:00,2024-12-23 15:29:00,0.36564,0.438768,0.329076,0.35463,6831.032779,-75.209671,-3.011159,4h Timeout,2497.698825,2422.489154,238
DEXEUSDT,2024-12-24 16:30:00,2024-12-24 11:31:00,2024-12-24 15:29:00,13.021,15.6252,11.7189,12.973,186.044786,-8.93015,-0.368635,4h Timeout,2422.489154,2413.559005,238
DFUSDT,2024-12-30 16:30:00,2024-12-30 11:46:00,2024-12-30 15:44:00,0.09169,0.110028,0.082521,0.09411,26323.034188,63.701743,2.639328,4h Timeout,2413.559005,2477.260747,238
PHAUSDT,2024-12-30 16:30:00,2024-12-30 11:31:00,2024-12-30 15:29:00,0.44789,0.537468,0.403101,0.44184,5530.95793,-33.462295,-1.350778,4h Timeout,2477.260747,2443.798452,238
AI16ZUSDT,2025-01-02 18:30:00,2025-01-02 13:46:00,2025-01-02 17:44:00,2.0594,2.47128,1.85346,2.0736,1186.655556,16.850509,0.689521,4h Timeout,2443.798452,2460.648961,238
GRIFFAINUSDT,2025-01-02 18:30:00,2025-01-02 13:31:00,2025-01-02 17:29:00,0.39354,0.472248,0.354186,0.37125,6252.601923,-139.370497,-5.663973,4h Timeout,2460.648961,2321.278464,238
ZEREBROUSDT,2025-01-02 19:30:00,2025-01-02 14:01:00,2025-01-02 17:59:00,0.667,0.8004,0.6003,0.6423,3480.177607,-85.960387,-3.703148,4h Timeout,2321.278464,2235.318077,238
