symbol,launch_date,entry_time,exit_time,entry_price,target_price,stop_loss_price,exit_price,position_size,profit_usd,profit_pct,exit_reason,capital_before,capital_after,duration_minutes
PENGUUSDT,2024-12-17 21:30:00,2024-12-17 16:16:00,2024-12-17 16:50:00,0.037464,0.044957,0.031844,0.031844,53384.582533,-300.0,-15.0,Stop Loss,2000.0,1700.0,34
LUMIAUSDT,2024-12-18 16:30:00,2024-12-18 11:31:00,2024-12-18 15:29:00,1.864,2.2368,1.5844,1.861,912.017167,-2.736052,-0.160944,4h Timeout,1700.0,1697.263948,238
USUALUSDT,2024-12-18 18:30:00,2024-12-18 13:01:00,2024-12-18 15:22:00,0.8171,0.98052,0.694535,0.98052,2077.180209,339.45279,20.0,Target Hit,1697.263948,2036.716738,141
AIXBTUSDT,2024-12-20 23:30:00,2024-12-20 18:32:00,2024-12-20 19:39:00,0.27171,0.326052,0.230954,0.326052,7495.921159,407.343348,20.0,Target Hit,2036.716738,2444.060086,67
FARTCOINUSDT,2024-12-20 23:30:00,2024-12-20 18:46:00,2024-12-20 22:44:00,1.0858,1.30296,0.92293,1.037,2250.930269,-109.845397,-4.494382,4h Timeout,2444.060086,2334.214689,238
CGPTUSDT,2024-12-21 00:30:00,2024-12-20 19:16:00,2024-12-20 23:14:00,0.23128,0.277536,0.196588,0.24453,10092.592047,133.726845,5.728987,4h Timeout,2334.214689,2467.941533,238
KMNOUSDT,2024-12-21 00:30:00,2024-12-20 19:01:00,2024-12-20 22:59:00,0.19016,0.228192,0.161636,0.19288,12978.236923,35.300804,1.430374,4h Timeout,2467.941533,2503.242338,238
HIVEUSDT,2024-12-23 16:30:00,2024-12-23 11:31:00,2024-12-23 15:29:00,0.36564,0.438768,0.310794,0.35463,6846.193901,-75.376595,-3.011159,4h Timeout,2503.242338,2427.865743,238
DEXEUSDT,2024-12-24 16:30:00,2024-12-24 11:31:00,2024-12-24 15:29:00,13.021,15.6252,11.06785,12.973,186.457702,-8.94997,-0.368635,4h Timeout,2427.865743,2418.915773,238
DFUSDT,2024-12-30 16:30:00,2024-12-30 11:46:00,2024-12-30 15:44:00,0.09169,0.110028,0.077936,0.09411,26381.456792,63.843125,2.639328,4h Timeout,2418.915773,2482.758899,238
PHAUSDT,2024-12-30 16:30:00,2024-12-30 11:31:00,2024-12-30 15:29:00,0.44789,0.537468,0.380706,0.44184,5543.233603,-33.536563,-1.350778,4h Timeout,2482.758899,2449.222335,238
AI16ZUSDT,2025-01-02 18:30:00,2025-01-02 13:46:00,2025-01-02 17:44:00,2.0594,2.47128,1.75049,2.0736,1189.289276,16.887908,0.689521,4h Timeout,2449.222335,2466.110243,238
GRIFFAINUSDT,2025-01-02 18:30:00,2025-01-02 13:31:00,2025-01-02 17:29:00,0.39354,0.472248,0.334509,0.37125,6266.479248,-139.679822,-5.663973,4h Timeout,2466.110243,2326.430421,238
ZEREBROUSDT,2025-01-02 19:30:00,2025-01-02 14:01:00,2025-01-02 17:59:00,0.667,0.8004,0.56695,0.6423,3487.90168,-86.151171,-3.703148,4h Timeout,2326.430421,2240.279249,238
BIOUSDT,2025-01-03 17:30:00,2025-01-03 12:16:00,2025-01-03 12:59:00,0.7526,0.90312,0.63971,0.90312,2976.719704,448.05585,20.0,Target Hit,2240.279249,2688.335099,43
COOKIEUSDT,2025-01-07 16:30:00,2025-01-07 11:31:00,2025-01-07 15:29:00,0.639,0.7668,0.54315,0.6572,4207.097182,76.569169,2.8482,4h Timeout,2688.335099,2764.904268,238
ALCHUSDT,2025-01-07 16:30:00,2025-01-07 11:46:00,2025-01-07 15:44:00,0.19607,0.235284,0.16666,0.20094,14101.618135,68.67488,2.483807,4h Timeout,2764.904268,2833.579148,238
SWARMSUSDT,2025-01-07 17:30:00,2025-01-07 12:16:00,2025-01-07 16:14:00,0.5009,0.60108,0.425765,0.4949,5656.97574,-33.941854,-1.197844,4h Timeout,2833.579148,2799.637294,238
SONICUSDT,2025-01-08 12:30:00,2025-01-08 07:02:00,2025-01-08 11:00:00,0.9642,1.15704,0.81957,0.9314,2903.58566,-95.23761,-3.401784,4h Timeout,2799.637294,2704.399684,238
DUSDT,2025-01-09 15:30:00,2025-01-09 10:01:00,2025-01-09 13:59:00,0.18554,0.222648,0.157709,0.17207,14575.831001,-196.336444,-7.25989,4h Timeout,2704.399684,2508.06324,238
