symbol,launch_date,entry_time,exit_time,entry_price,target_price,stop_loss_price,exit_price,position_size,profit_usd,profit_pct,exit_reason,capital_before,capital_after,duration_minutes
PENGUUSDT,2024-12-17 21:30:00,2024-12-17 16:15:00,2024-12-17 16:47:00,0.033401,0.040081,0.032733,0.032733,59878.446753,-40.0,-2.0,Stop Loss,2000.0,1960.0,32
LUMIAUSDT,2024-12-18 16:30:00,2024-12-18 11:30:00,2024-12-18 15:29:00,1.626,1.9512,1.59348,1.861,1205.412054,283.271833,14.452645,4h Timeout,1960.0,2243.271833,239
USUALUSDT,2024-12-18 18:30:00,2024-12-18 13:00:00,2024-12-18 14:50:00,0.7784,0.93408,0.762832,0.93408,2881.901121,448.654367,20.0,Target Hit,2243.271833,2691.926199,110
AIXBTUSDT,2024-12-20 23:30:00,2024-12-20 18:31:00,2024-12-20 19:22:00,0.2585,0.3102,0.25333,0.3102,10413.641003,538.38524,20.0,Target Hit,2691.926199,3230.311439,51
FARTCOINUSDT,2024-12-20 23:30:00,2024-12-20 18:45:00,2024-12-20 19:03:00,1.0336,1.24032,1.012928,1.012928,3125.301315,-64.606229,-2.0,Stop Loss,3230.311439,3165.70521,18
CGPTUSDT,2024-12-21 00:30:00,2024-12-20 19:15:00,2024-12-20 23:14:00,0.22,0.264,0.2156,0.24453,14389.569138,352.976131,11.15,4h Timeout,3165.70521,3518.681341,239
KMNOUSDT,2024-12-21 00:30:00,2024-12-20 19:00:00,2024-12-20 22:59:00,0.1695,0.2034,0.16611,0.19288,20759.181954,485.349674,13.79351,4h Timeout,3518.681341,4004.031015,239
HIVEUSDT,2024-12-23 16:30:00,2024-12-23 11:30:00,2024-12-23 11:31:00,0.37638,0.451656,0.368852,0.368852,10638.267218,-80.08062,-2.0,Stop Loss,4004.031015,3923.950395,1
DEXEUSDT,2024-12-24 16:30:00,2024-12-24 11:30:00,2024-12-24 15:29:00,12.73,15.276,12.4754,12.973,308.244336,74.903374,1.908877,4h Timeout,3923.950395,3998.853769,239
DFUSDT,2024-12-30 16:30:00,2024-12-30 11:45:00,2024-12-30 11:46:00,0.09669,0.116028,0.094756,0.094756,41357.469942,-79.977075,-2.0,Stop Loss,3998.853769,3918.876693,1
PHAUSDT,2024-12-30 16:30:00,2024-12-30 11:30:00,2024-12-30 11:44:00,0.44936,0.539232,0.440373,0.440373,8721.0181,-78.377534,-2.0,Stop Loss,3918.876693,3840.499159,14
